
 latitude, longitude, time
 19.07094158,72.90730592,0                     
 19.07132692,72.90770732,5000                    
 19.07146338.72.8953985,1000                      
 19.06790834,72.89286813,1500                       
 19.07708118,72.89948537,2000          
 19.07500889,72.89294168,2500                
 19.07368225,72.89711714,3000              
 19.07335726,72.89872306,3500             
 19.07364176,72.89723527,4000             
 19.07102198,72.90441846,4500            
