id,prabhag_id,sac_no,road_name,building_name
"1624","132",,90 Feet Road,Shri Raj Regency
"1625","132",,90 Feet Road,Anubhav Dham Plot No. 99
"1626","132",,90 Feet Road,Mahavir
"1627","132",,90 Feet Road (MTNL Galli),Kot Mahal
"1628","132",,90 Feet Road (MTNL Galli),Hansa Apartment
"1629","132",,90 Feet Road (MTNL Galli),Usha Villa
"1630","132",,90 Feet Road,Liberty Plot No. 92
"1631","132",,90 Feet Road,Raju mansion
"1632","132",,90 Feet Road,Guruprasad
"1633","132",,90 Feet Road (MTNL Galli),Swagat
"1634","132",,90 Feet Road (MTNL Galli),Dwaraka Dham
"1635","132",,90 Feet Road (MTNL Galli),Usha Prakash
"1636","132",NX0100800020000,90 Feet Road,Namrata
"1637","132",NX0100230920000,Shanti Path Road,Orbit
"1638","132",,Pune Vidya Bhavan,Sursa House
"1639","132",NX0113230310000,Pune Vidya Bhavan,Sundaram
"1640","132",NX0109150150000,Tilak Road,Kailas mansion
"1641","132",,"Joshi lane, Tilak road",Pranay Darshan
"1642","132",,M.G.Road,Anjariya wadi
"1643","132",,M.G.Road,Maharanjan Hotel
"1644","132",,Tilak Road,Patel Sadan
"1645","132",NX0103070070000,Tilak Road,Shindhu Baug A & B
"1646","132",NX0105880060000,Tilak Road,Kailash Kiran No. 2
"1647","132",,90 Feet Road,Shram Safalaya
"1648","132",,90 Feet Road,Mahavir Park Plot No. 98
"1649","132",,90 Feet Road (MTNL Galli),Shree Krishna Kiran
"1650","132",,90 Feet Road (MTNL Galli),Shiv Jeet
"1651","132",,90 Feet Road (MTNL Galli),Aasha Villa
"1652","132",,90 Feet Road,Jai Abhishek
"1653","132",NX0101720040000,90 Feet Road,Mahavir cottage
"1654","132",NX0100080260000,90 Feet Road,Venus CHS
"1655","132",NX0100180050000,Pune Vidya Bhavan,Hari Krupa
"1656","132",,90 Feet Road,Sampada Building
"1657","132",,Tilak Road,Man Ratan
"1658","132",,"Joshi lane, Tilak road",Shree Vallabh Apartment
"1659","132",,Derasar lane,Jirawada Resisdence
"1660","132",,Anandi lane,Neelkanth market
"1661","132",,Tilak Road,Krish Residency
"1662","132",NX0106400080000,Tilak Road,Vinay Plot No. 68
"1663","132",NX0105870180000,Tilak Road,Shankar Chaya
"1664","132",NX0108070000000,90 Feet Road,Geetanjali
"1665","132",,90 Feet Road (MTNL Galli),Shiv Sagar Plot No. 95
"1666","132",,90 Feet Road,Rupal
"1667","132",,90 Feet Road (MTNL Galli),Neelkanth Palace
"1668","132",NX0101650080000,90 Feet Road,Mahavir Villa
"1669","132",,90 Feet Road,Vishal Bhavan
"1670","132",,90 Feet Road,Indian Bank
"1671","132",,Shanti Path Road,Golden
"1672","132",NX0102480010000,90 Feet Road,Jeevan Tarang Building
"1673","132",,90 Feet Road,Ratan Palace
"1674","132",,Tilak Road,Lil Niwas
"1675","132",,"Joshi lane, Tilak road",Amrut Dhara A
"1676","132",NX0202930120000,Derasar lane,Gayatri Dham Tower
"1677","132",,Anandi lane,Bhaveshwar darshan
"1678","132",,Tilak Road,Ramji Bhavan
"1679","132",,Tilak Road,Vijay Plot no. 66
"1680","132",NX0109150150000,Tilak Road,Kailash Nagar Plot No. 25
"1681","132",,90 Feet Road,Shashi Prabha Plot No. 91
"1682","132",,90 Feet Road,Humsika
"1683","132",,90 Feet Road (MTNL Galli),Darshna Apartment Plot No. 144
"1684","132",,90 Feet Road,Govardhan
"1685","132",,90 Feet Road (MTNL Galli),Mahavir Cottage
"1686","132",NX0101510070000,90 Feet Road,Shri Krishna Jyot
